case,dice_fat,dice_muscle
case_000,0.9047370501373279,0.8993223751630859
case_001,0.9358847404065929,0.8413151095595921
case_002,0.9304285113735947,0.7911733851238892
case_003,0.8357614082866605,0.6590800240698517
case_004,0.892453316526836,0.8586921958753521
case_005,0.888838295536397,0.8308086135480717
case_006,0.8923518428266622,0.8696352935749695
case_007,0.9079716231564869,0.8445158379002756
case_008,0.9344121050875799,0.8562151385358651
case_009,0.9017070066433618,0.7575781083820272
case_010,0.9291604247850324,0.7094018956313324
case_011,0.8712508840407966,0.8430217750862412
case_012,0.9221573728992335,0.8340666314494485
case_013,0.9083322287919982,0.8031635624012468
case_014,0.8920817149020022,0.8204758552996939
case_015,0.8665511759978705,0.837592368480575
case_016,0.8896763673419095,0.8249118756538819
case_017,0.9036871981277698,0.7994365596366965
case_018,0.9348891551662505,0.8573590623516074
case_019,0.9132638034684084,0.8291913769154101
case_020,0.9073690083832007,0.809658122307287
case_021,0.8737324582999938,0.8953204726238417
case_022,0.9143164783274543,0.8449649463656225
case_023,0.9086926888934606,0.8696564799832419
case_024,0.8494074131836745,0.7718601800430055
case_025,0.8691019766547377,0.8635758159360736
case_026,0.9006115243979321,0.7962632408441417
case_027,0.9031742230911035,0.8549371914641326
case_028,0.9145071421793024,0.7948417266014173
case_029,0.8661947203166694,0.8222577995163449
case_030,0.9303944078779529,0.7748573021393592
case_031,0.7851783800336855,0.7763646137910236
case_032,0.9161782394275592,0.8132835373866908
case_033,0.9068499768740017,0.7929975180715756
case_034,0.8985441187671,0.85492308377746
case_035,0.9241366066360348,0.8411094296389394
case_036,0.9137798067672149,0.8355673526260252
case_037,0.8881255294399127,0.8295246190873912
case_038,0.943187404606677,0.8256976159145445
case_039,0.9178857173152749,0.820931839064271
case_040,0.8564405500415194,0.6912576572471996
case_041,0.8795313587423752,0.8640962312305845
case_042,0.9186772994643672,0.8091775987484757
case_043,0.9381893002435195,0.8351890401568572
case_044,0.8883866992808931,0.8295037531276064
case_045,0.8996025952027837,0.8693292631221912
case_046,0.8756556414521969,0.7998613399834953
case_047,0.8721681364911648,0.8307265069088637
case_048,0.9163884248643377,0.787959074129174
case_049,0.907622974748212,0.866578189233807
case_050,0.9050831290173434,0.7558384056865817
case_051,0.9282615496215537,0.8710898337092501
case_052,0.8781462393437853,0.7979746849222613
case_053,0.8273215805156443,0.8489483994853526
case_054,0.8586527360303745,0.80141009271082
case_055,0.9227250581291783,0.8056507492807832
case_056,0.8971362575215642,0.8491130998422566
case_057,0.8752871083146568,0.7781163720001969
case_058,0.9088232509527938,0.87109357340756
