case,subcutaneous_fat,muscle,visceral_fat
case_000,0.9366115501384811,0.8816292043853013,0.7306987926471535
case_001,0.9543696510820859,0.8525538536893716,0.9134505314444934
case_002,0.926542925601276,0.8248877290223519,0.8976212427434952
case_003,0.8692795252084873,0.6954851458339126,0.9190188881548801
case_004,0.9226735679097623,0.8625957628589505,0.8923005748896005
case_005,0.9140327352267887,0.8365958096474347,0.8576151457581276
case_006,0.920501324879265,0.8640843763192496,0.8417284711426003
case_007,0.9244867354674756,0.8488174099662293,0.8694163891886618
case_008,0.9429907385158012,0.8741285336557186,0.8195927534065068
case_009,0.8827079102318336,0.7741601976642726,0.9093756801042541
case_010,0.9486106623738536,0.7833123247485813,0.9433511315023847
case_011,0.8916007144920113,0.8394086356093581,0.8401756674754044
case_012,0.9413366684129976,0.8405416431245814,0.9246985271333034
case_013,0.9309899737073422,0.8149920824991007,0.925578096030155
case_014,0.8944618925078781,0.8238453874956677,0.8921450718020182
case_015,0.903550204618704,0.8414095242678701,0.7948566223957579
case_016,0.92005086003191,0.8368817030094088,0.8935465012483783
case_017,0.9254876364173353,0.8015650848728391,0.9202234043042983
case_018,0.945086711993618,0.8669297271958893,0.9023516645595104
case_019,0.931319986213377,0.8333854924665636,0.9172130898871413
case_020,0.9316969024327157,0.8287532119687531,0.9198208270556992
case_021,0.9244851191775839,0.8903668985674015,0.6758418820111987
case_022,0.9272632117778131,0.8520734829920914,0.8937905581252652
case_023,0.9264923266304402,0.858666555698897,0.8937795622339998
case_024,0.8759008511921198,0.775578398494415,0.9327479596776128
case_025,0.9087421778520433,0.8558428580208229,0.8171202904420579
case_026,0.9138570555634342,0.8138665811768153,0.9042538315184239
case_027,0.9377156214994755,0.861154431097736,0.8774475689820944
case_028,0.9261752198038691,0.8313779466310915,0.9196620725803475
case_029,0.8748965412478061,0.8222372032320074,0.9033236139814971
case_030,0.9269879931948878,0.8059816401440675,0.8975073838475497
case_031,0.8807788058389706,0.7756215593828772,0.8726061447160746
case_032,0.9260783108470347,0.8446875506591994,0.9189581640347667
case_033,0.9163138736451356,0.8187964011938916,0.9040979009945727
case_034,0.9221094682925118,0.8489708801923195,0.8269839032943527
case_035,0.9534399084002367,0.8506347423668051,0.8611878781275577
case_036,0.9061178160539314,0.8484236142947158,0.8862846465875027
case_037,0.9090939971142064,0.8306909466672362,0.8996575285325656
case_038,0.9448447581439126,0.8567124818706867,0.9320412032818737
case_039,0.9160561027974604,0.8345758710285966,0.9103222415733493
case_040,0.8721737295176752,0.7159775491430496,0.8860411925211632
case_041,0.9327142467779246,0.8652660344667359,0.8820858006380293
case_042,0.9104743027666324,0.8234682127713266,0.8764707414585913
case_043,0.9485919181144359,0.8459829529515837,0.9117102995326701
case_044,0.9322941423876397,0.8302483848679616,0.9064949350208944
case_045,0.9479902710835202,0.8766426409100039,0.867496131296577
case_046,0.9120322533331828,0.810686589535256,0.9147341132915314
case_047,0.9180841796192187,0.8375753312543034,0.8533478986198779
case_048,0.9175178983328963,0.8284963261437776,0.9054028538656591
case_049,0.9366034196798441,0.8584876876681667,0.8627816713782245
case_050,0.9304272671231227,0.8015326450327054,0.9186377317055343
case_051,0.942669696605327,0.8702395649264534,0.9217764864318774
case_052,0.8971484069866769,0.8147010382388222,0.8854755148350288
case_053,0.9164655675330072,0.8428697979311224,0.6713689969871326
