case,GT_sub_fat_mean_hu,GT_muscle_mean_hu,JF_sub_fat_mean_hu,JF_vis_fat_mean_hu,JF_muscle_mean_hu,TS_sub_fat_mean_hu,TS_vis_fat_mean_hu,TS_muscle_mean_hu
case_000,-84.92692585301837,45.70210137004058,-88.26804482417722,-12.992185576302132,55.16818283020692,-84.72550432778347,-9.955929669371292,55.95555381147772
case_001,-99.48840077972338,16.385464876826315,-102.92317833446998,-18.900944410126122,28.521189818160146,-100.9025519438387,-18.53890527529817,34.43281456893581
case_002,-109.0136059103469,-9.595248712342913,-109.87073533861376,-17.799902119873472,5.175557905641646,-107.40530162533722,-17.37866259661091,14.535300197558646
case_003,-97.01925777889909,-33.15582048073878,-106.69166376836797,-21.577458391718835,-22.050261142382578,-100.77573326056655,-21.30513793946734,-7.194926724111534
case_004,-98.47335090400361,16.246658392599063,-97.58879510029759,-16.973283363595208,27.56663058274755,-94.26564301963845,-16.33800645795311,31.766282034217614
case_005,-100.18243161276195,18.4708188877947,-98.75424093938389,-15.73684064639521,31.19120354102969,-94.65606480630807,-14.834578480729283,36.48276639627667
case_006,-99.36418161276465,23.35028877725887,-100.65773447376009,-17.388370317099028,33.21280645555335,-96.78797465748349,-16.124699445703403,37.26888895635366
case_007,-99.2540905244499,17.46430288854928,-100.87356674894333,-17.159792000654647,29.707450913021383,-97.79865305004392,-16.18776435277498,34.83558418668479
case_008,-96.07467657010216,24.232522658638207,-98.5797604848468,-14.82255256727599,35.194191303325795,-96.17732789634626,-13.338011014615548,39.91517221480698
case_009,-106.36355004114705,-4.146671724031045,-111.58028280007798,-20.80009584197762,7.606040247414554,-109.26723096034026,-20.09842702217182,18.91685554792835
case_010,-89.94546963123133,-15.005199020556915,-89.60816960637703,-18.135760578637612,0.015082417189666757,-88.28363700070076,-17.909538210247693,7.883039294306335
case_011,-97.48153368249548,34.337608039709345,-97.79829832279856,-15.172354914998204,46.76929478955182,-93.90464225584785,-13.76389180482466,50.99136995397614
case_012,-99.12712106180315,8.329601781715088,-103.23410955208902,-18.493478976036222,17.669948449672873,-100.45979253550124,-18.15596989893392,24.118379031323947
