case,dice_fat,dice_muscle
case_000,0.9039607421653052,0.9163300684753403
case_001,0.942519015285979,0.8962492612399636
case_002,0.9513181337414828,0.874248589092389
case_003,0.8868044188366249,0.8735927918740859
case_004,0.910694370623892,0.8917273855287376
case_005,0.9146827918417546,0.8776926689681552
case_006,0.9132580861583912,0.9065811058823326
case_007,0.9327809340821359,0.8916559435669105
case_008,0.9446286955108694,0.9034202679706371
case_009,0.9486210318513251,0.8982999470601295
case_010,0.9415530474687854,0.8555979563117259
case_011,0.9153809814438798,0.8981291179438475
case_012,0.9343161770859486,0.9054510178066048
case_013,0.925412948261244,0.9033373272381766
case_014,0.9348622800203931,0.8828962382842597
case_015,0.8892283353840745,0.8722210526667535
case_016,0.9106026883568147,0.8706818951713942
case_017,0.9243217230232812,0.8988318765080938
case_018,0.9489878821482025,0.8939263636957816
case_019,0.9307534164823311,0.8835081320387642
case_020,0.9270331213708262,0.8663667216918512
case_021,0.8820841185117949,0.9015698208150572
case_022,0.9312616327564996,0.896337955407357
case_023,0.9354109915663241,0.9059131372315445
case_024,0.9013128949216007,0.8997633769901163
case_025,0.8945548977529872,0.9002350839978083
case_026,0.9279820992300802,0.8765770418350238
case_027,0.9146078429726958,0.8895373821187759
case_028,0.9380083380134648,0.8629002706291709
case_029,0.9178402840836838,0.8850340926700759
case_030,0.9519224748551546,0.8587405682147495
case_031,0.7999574788844005,0.9025121231318162
case_032,0.9372644646419862,0.8842162702923924
case_033,0.9314823216459986,0.8636643205109406
case_034,0.9167224547569724,0.8773769005887185
case_035,0.9275432919930531,0.9112653902478711
case_036,0.9465424914939684,0.891903254478195
case_037,0.9187460165949031,0.8775466932597674
case_038,0.9583343155975703,0.893108990861835
case_039,0.9458005520749871,0.8920856183696804
case_040,0.915495063057495,0.8824553151458138
case_041,0.8880652952444408,0.905796009429926
case_042,0.9471375692118948,0.8844135756692276
case_043,0.9475183705488082,0.9115710830788096
case_044,0.8989400784038605,0.9070614227251964
case_045,0.9019063457811619,0.9157795144191729
case_046,0.9057561373497525,0.897115052782901
case_047,0.8972637159627657,0.8767709295258842
case_048,0.9418738406928486,0.8648808048699784
case_049,0.9149905718198312,0.9138604745252442
case_050,0.9306647131353876,0.8664285248254714
case_051,0.9395155032329398,0.9123630756768398
case_052,0.910809760984557,0.8810252753663657
case_053,0.8385265355236303,0.9009562418309331
case_054,0.8783649781322088,0.8856346917141237
case_055,0.9447923177868676,0.8748982946220725
case_056,0.9218500600106411,0.9063514858676588
case_057,0.9038745659834722,0.8910246351796642
case_058,0.9169793833077132,0.9190786437386493
case_059,0.9206693827370404,0.901457364134197
case_060,0.939584150943967,0.889961827286221
case_061,0.8951885350274512,0.8819607194144747
case_062,0.9361587985439547,0.8814730554220679
case_063,0.9113200187236699,0.884212573985233
case_064,0.9078277816222364,0.9190263661253423
case_065,0.9278305707568604,0.885980222115271
case_066,0.9393988274343146,0.9004881378061989
case_067,0.9341890225836973,0.9310303222052708
case_068,0.9165970139469328,0.9138348007399129
case_069,0.9274536041210812,0.8944579791638124
case_070,0.9165145722118021,0.8727818138818931
case_071,0.9155177241003967,0.9117276634172694
case_072,0.9164802454368648,0.903884284915349
case_073,0.9255929700407937,0.8970611732769104
case_074,0.9255031268850121,0.9134510901812996
case_075,0.909863963516353,0.9034692020430528
case_076,0.8921756508609727,0.9153256927052034
case_077,0.9255931767359943,0.9239933612663341
case_078,0.9208225152264394,0.8799076479432325
case_079,0.9272206717041689,0.8603187816761746
case_080,0.9067405217362923,0.9009100670301375
case_081,0.9471864219694696,0.8870039252683547
case_082,0.8779090386356828,0.8502689956085231
case_083,0.8696315691423526,0.8932963539200433
case_084,0.9426623667576263,0.9041696080230319
case_085,0.864871498866674,0.8674287851948024
case_086,0.9491491393623652,0.9029743513459629
case_087,0.9488723936767794,0.869387730233295
case_088,0.910789638021582,0.8865679012345679
case_089,0.9090486928702481,0.8910057142747255
case_090,0.9189680978559359,0.9026469115669004
case_091,0.9220229848658776,0.8711829079248966
case_092,0.9358915380964721,0.8789456487158102
case_093,0.9035696287904335,0.907884568610125
case_094,0.9319231270340183,0.8614928196076634
case_095,0.8717086810775133,0.8483282365834689
case_096,0.9227634639557022,0.9107011681741299
case_097,0.9144199233479221,0.9002379947528031
