case,GT_sub_fat_vol,GT_muscle_vol,JF_sub_fat_vol,JF_vis_fat_vol,JF_muscle_vol,TS_sub_fat_vol,TS_vis_fat_vol,TS_muscle_vol
case_000,1860.3515625,1459.6771240234375,1657.6812744140625,656.8695068359375,1356.9732666015625,1753.01513671875,979.7821044921875,1244.2901611328125
case_001,1841.84912109375,629.52978515625,1733.34814453125,2269.36669921875,589.91748046875,1801.5908203125,2255.7041015625,484.5498046875
case_002,4935.5328708648685,1881.4667261505128,4804.716428527832,4462.738410339355,1573.818980407715,5091.668186340332,4493.240621337891,1298.093259048462
case_003,1314.4084720611572,849.3869380950928,1201.2381744384766,4926.9565505981445,707.4285984039307,1416.2202224731445,4932.904773712158,426.36852836608887
case_004,1730.4174488067626,1251.657507019043,1596.0904616546632,2658.135719833374,1099.874705657959,1699.2667920684814,2729.8982276916504,998.1802798461914
case_005,1569.0066833496094,1099.4474487304688,1445.8134155273438,2586.208282470703,942.6879272460938,1547.0906066894531,2848.8279418945312,822.1766967773438
case_006,1835.6827697753906,1511.690185546875,1671.8980407714844,1667.0530700683594,1355.8230285644531,1800.9893188476562,1858.748291015625,1221.3404846191406
case_007,2530.048683166504,1751.5200958251953,2397.576385498047,2963.89705657959,1540.1301956176758,2567.725929260254,3155.923568725586,1356.0677642822266
case_008,3760.6170080566408,1666.7600969696045,3561.1457011413577,1552.8363787078858,1468.611118927002,3723.5486466979983,1804.4210055541992,1314.0034407806397
case_009,2832.363581314087,897.172066268921,2683.7954262542726,3130.663496017456,816.9711692047119,2612.8009101104735,3149.039666519165,565.0361402893067
case_010,2855.0723309516907,787.8849458694458,2778.177165031433,4820.917280197144,627.660885810852,2868.2403869628906,4900.253135204315,447.57930755615234
case_011,1564.388408863606,1261.9896961116222,1441.3554434642178,1780.7368072671686,1115.342338966222,1462.8332950046376,1921.8873690229507,962.9424189762522
case_012,2374.71923828125,983.843994140625,2183.4625244140625,4146.6033935546875,919.3695068359375,2312.3779296875,4185.11962890625,737.70751953125
case_013,2393.699026107788,1055.3956031799316,2216.4852619171143,4877.712106704712,969.0018653869629,2385.2867603302,4983.626317977905,731.5079212188721
case_014,2365.470428466797,1772.8934326171875,2264.9002075195312,4828.579376220703,1522.0055236816406,2511.892364501953,4823.877777099609,1289.4840087890625
case_015,1363.129656982422,1094.6544958496095,1204.976055908203,1256.0199218750001,931.7000854492188,1324.7389819335938,1536.6900866699218,841.2566296386719
case_016,2594.9145317077637,1740.1730060577393,2388.440179824829,5341.9867515563965,1439.5002365112305,2600.7511138916016,5315.581941604614,1283.713960647583
case_017,1423.5463256835938,635.7442016601562,1298.8328247070312,3119.1427001953125,601.7799682617188,1356.4978637695312,3205.6575622558594,476.84893798828125
case_018,3503.35693359375,1715.6148223876953,3371.5734252929688,4233.239486694336,1486.971206665039,3500.269462585449,4417.204284667969,1352.6345443725586
case_019,3079.434730682373,1563.773168964386,2867.108184928894,4881.633317413331,1349.718638420105,3046.692569732666,4924.408403491974,1174.9235243225098
case_020,3395.230583190918,1514.3085098266602,3168.1559448242188,6385.445541381836,1282.6692123413086,3360.7191772460938,6445.871780395508,1089.9283981323242
case_021,715.6147599649569,849.6667505801444,644.2110584845278,193.02826571529988,756.4442824773371,679.4124849518439,312.42305745269834,727.1540338823814
case_022,2829.62646484375,1517.3095703125,2625.4425048828125,3381.8572998046875,1341.8243408203125,2787.8631591796875,3668.3868408203125,1182.8460693359375
case_023,1699.5103424216518,1222.1283627020496,1611.360655377649,2917.3609876145324,1108.6723765320223,1663.1003310152269,3075.9141870852923,979.4749546434361
case_024,1449.877248764038,858.2882919311523,1290.1866092681885,6106.8700313568115,788.0424938201904,1304.9321670532227,5981.617755889893,556.7562236785889
case_025,1363.1595355262662,1339.5848709009065,1218.320130004169,1892.4075230223787,1211.0163669466626,1322.2218178478183,2317.7538226748416,1074.2746898710088
case_026,4213.433802127838,2069.7762966156006,3983.742308616638,5254.295837879181,1719.3495750427246,4311.489617824554,5136.99197769165,1425.5645394325256
case_027,1871.1967581005674,1214.3607168530882,1710.7522064890557,2057.7828412419767,1094.1685924708006,1794.6540170915682,2268.7999532177328,976.0537218013876
case_028,4446.772294445038,2016.893333683014,4326.059709243775,7078.7016264533995,1631.7767233276368,4601.294870738983,6908.944314785003,1386.1605696296692
case_029,1863.141444683075,1246.5605792999268,1689.50807762146,4928.835220813751,1097.3979320526123,1720.240068912506,4834.418970108032,914.5043306350708
case_030,4190.672842025757,1639.7584991455078,4102.744091033936,5272.08420753479,1333.4366512298584,4338.059171676636,5156.432762145996,1107.8691902160645
case_031,654.8394855105057,501.7035413951181,481.51657861198385,1769.2268190209134,464.71470016335314,564.4168272451298,1976.1562282216719,335.8316635994693
case_032,5172.14298248291,2281.460762023926,4916.105270385742,7951.021194458008,1912.989616394043,5242.223739624023,7766.1895751953125,1619.0910339355469
case_033,2923.2236099243164,1475.7367782592773,2758.956932067871,4626.224143981934,1228.9869766235352,2960.1135177612305,4613.538246154785,1035.5284118652344
case_034,1270.9210510253906,1080.7260437011719,1190.6081848144531,1339.2919616699219,925.3879089355469,1281.4663391113281,1617.0224304199219,865.9443054199219
case_035,1340.5565185546875,490.5027160644531,1221.5173034667969,760.6331481933594,462.6307678222656,1274.5397338867188,822.5954284667969,373.2839660644531
case_036,3225.2165327072144,1420.323320388794,3084.106099128723,2858.2587637901306,1227.024489402771,3084.5507855415344,2950.562957763672,1074.4640159606934
case_037,2273.198424911499,1510.7744304656983,2096.947128982544,4767.644303283691,1295.3329328155519,2276.7650340271,4666.942353515625,1135.1591654205322
case_038,7405.757904052734,2278.1991958618164,7157.649993896484,9854.927062988281,1981.8449020385742,7415.218353271484,9668.192863464355,1664.3667221069336
case_039,4071.6268615722656,2139.3264770507812,3912.677215576172,5917.8944091796875,1853.8217468261719,4227.595367431641,5949.881103515625,1546.3861083984375
case_040,846.8256554308891,499.2573855621557,787.8131754875366,1575.8432379681194,434.61957082448225,895.5263942871409,1606.8361147339024,272.04492440412844
case_041,956.5569400787354,696.9762325286865,838.9234066009521,1607.0624828338623,651.9121170043945,869.8026180267334,1804.793643951416,550.8256912231445
case_042,2777.4930267333984,1398.0886535644531,2671.6757049560547,3032.694190979004,1203.4780044555664,2891.6536712646484,3078.5538024902344,992.2777252197266
case_043,3260.75537109375,999.3076171875,3069.5009765625,2505.66943359375,935.89013671875,3197.8740234375,2677.9130859375,744.416015625
case_044,1210.4009484863282,740.6675610351563,1065.0308435058594,2490.5719970703126,705.6584704589844,1135.496649169922,2613.56626953125,552.5897631835937
case_045,1076.834091796875,547.856279296875,943.0785681152344,753.9448864746093,516.8813159179688,992.9994213867187,805.396640625,434.35148071289063
case_046,1030.9505628204347,556.4957892608643,911.0828233337403,2455.0262429809572,513.1028608703614,967.5051195526123,2416.659277114868,388.4560568237305
case_047,1797.5558455899618,1415.7357322587582,1616.2367132572128,2815.1581582479025,1240.3528405240115,1747.9311103260245,3066.129413194648,1067.8629489158961
case_048,4515.213966369629,1895.284652709961,4417.972564697266,6261.534690856934,1548.924446105957,4676.203727722168,6143.379211425781,1293.8928604125977
case_049,1526.2802339172363,938.3303210449219,1377.3128281402587,1888.3385355377197,893.8671164703369,1461.0802519226074,1978.2351500701905,745.5210781860352
case_050,1613.5835647583008,631.4897537231445,1549.820899963379,1846.4374542236328,537.867546081543,1655.7121276855469,1882.0762634277344,400.238037109375
case_051,3260.254295349121,1655.1199514961243,3056.667573890686,3942.4128117752075,1499.899528465271,3212.935984096527,4046.555692138672,1329.043812904358
case_052,2401.7518162727356,1509.1295600700378,2235.881836719513,2804.4706055259703,1280.654930820465,2475.5405873680115,2968.048813934326,1046.5882408714294
case_053,384.9106788635254,399.63297843933105,318.0072784423828,145.98231315612793,392.2800064086914,337.27641105651855,244.60606575012207,323.1359004974365
case_054,668.6896334075927,466.3114210319519,599.6062964820862,830.0503039932252,428.68295639038087,642.3316154289246,935.4647244644166,328.57720754623415
case_055,5079.0191650390625,2232.293701171875,4939.3035888671875,4542.437744140625,1871.00830078125,5268.6492919921875,4502.734375,1584.43603515625
case_056,1932.889833146329,1384.75478651631,1804.3273148746612,2938.883060956269,1250.2501951736979,1921.927954290418,3175.12478059787,1063.0119531923965
case_057,1348.2640571594238,783.3488845825195,1226.009759902954,3003.5549240112305,695.7363510131836,1360.9968852996826,3061.326976776123,513.2759971618652
case_058,849.32861328125,515.4144287109375,770.64208984375,707.684326171875,502.9022216796875,794.5892333984375,740.057373046875,429.6600341796875
case_059,1086.26171875,612.296875,1004.400390625,1481.54296875,558.615234375,1067.69140625,1511.576171875,437.443359375
case_060,1861.2657852172852,854.9237518310547,1781.0438690185547,2569.467185974121,774.2528991699219,1942.3855743408203,2614.9419708251953,526.9274673461914
